"AthleteID","FirstName","LastName","DateOfBirth","Gender","Country"
38,"Thure","Ahlqvist",1907/4/20 0:00:00,,"SWE"
39,"John","Astor",1886/5/20 0:00:00,"Male","GBR"
40,"Sture","Andersson",1949/11/18 0:00:00,,"SWE"
41,"Martin","Annen",1974/2/12 0:00:00,,"SUI"
42,"Valerio","Arri",1892/6/22 0:00:00,"Male","ITA"
43,"Yevgeniy","Anashkin",1976/6/18 0:00:00,"Male","RUS"
44,"Janne","Ahonen",1977/5/11 0:00:00,,"FIN"
45,"Antonio","Allochio",1888/9/20 0:00:00,,"ITA"
46,"Matias","Almeyda",1973/12/21 0:00:00,"Male","ARG"
47,"Vladimir","Alikin",1957/5/10 0:00:00,"Male","URS"
48,"Irene","Abel",1953/2/12 0:00:00,"Female","GDR"
49,"M?rtha","Adlerstr?hle",1868/6/16 0:00:00,"Female","SWE"
50,,"Andrade",1957/4/21 0:00:00,,"BRA"
51,"Fernand","Arnout",1899/12/8 0:00:00,,"FRA"
52,"Max","Amann",1905/1/19 0:00:00,,"GER"
53,"Ray","Allen",1975/7/20 0:00:00,"Male","USA"
54,"Henri","Arthus",,,"FRA"
55,"Gordon","Aitchison",1909/6/14 0:00:00,"Male","CAN"
56,"Karl","Arnold",,,"GER"
57,"Kurt","Angle",1968/12/9 0:00:00,,"USA"
58,"Olena","Antonova",,"Female","UKR"
59,"Jos¨¦","Andrade",1901/11/20 0:00:00,,"URU"
60,"Mercedes","Alberdingk-Thijn",1962/8/2 0:00:00,"Female","ESP"
61,"Yelena","Antonova",1952/8/21 0:00:00,"Female","URS"
62,"Aleksandar","Atanackovic",1920/4/29 0:00:00,,"YUG"
63,"Frank","Adisson",1969/7/24 0:00:00,"Male","FRA"
64,"Thomas","Ahrens",1948/5/27 0:00:00,"Male","FRG"
65,"Beth","Anders",1951/11/13 0:00:00,"Female","USA"
66,"Debbie","Armstrong",1963/12/6 0:00:00,"Female","USA"
67,"Gaston","Alibert",,,"FRA"
68,"Hans-Georg","Aschenbach",1951/10/25 0:00:00,,"GDR"
69,"Felicia","Afrasiloaia",1954/1/16 0:00:00,"Female","ROM"
70,,"Albelda",1977/9/1 0:00:00,"Male","ESP"
71,"Chira","Apostol",1960/6/1 0:00:00,"Female","ROM"
72,"William","Allen",1947/12/20 0:00:00,,"USA"
73,"Fernando","Arcega",1960/9/3 0:00:00,"Male","ESP"
74,"George","Asanidze",1975/8/30 0:00:00,,"GEO"
75,"A","Albert",,,"FRA"
76,"Daphne","Arden",1941/12/29 0:00:00,"Female","GBR"
77,"Vladimir","A?toff",1879/8/5 0:00:00,,"FRA"
78,"Henrik","Agersborg",1872/7/5 0:00:00,,"NOR"
79,"Max","Ammermann",,"Male","GER"
80,"Charles","Armstrong",,"Male","USA"
81,"Eduard","Arbos",1983/5/7 0:00:00,"Male","ESP"
82,"Isaac","Azcuy",1953/6/3 0:00:00,"Male","CUB"
83,"Andr¨¦s","Aldama",1956/4/9 0:00:00,,"CUB"
84,"Arvo","Aaltonen",1892/12/2 0:00:00,"Male","FIN"
85,"Tor Birger","Arneberg",1928/9/4 0:00:00,,"NOR"
86,"Saipulla","Absaidov",1958/7/14 0:00:00,,"URS"
87,"Lars-G?ran","Arwidson",1946/4/4 0:00:00,"Male","SWE"
88,"Gennady","Avramenko",1965/5/27 0:00:00,,"URS"
89,"Kjerstin","Andersen",1958/11/25 0:00:00,"Female","NOR"
90,"Arvid","Andersson-Holtman",1896/12/20 0:00:00,,"SWE"
91,"Arvid","Andersson",1881/7/9 0:00:00,,"SWE"
92,"Misako","Ando",1971/3/21 0:00:00,"Female","JPN"
93,"Gunn Margit","Andreassen",1973/7/23 0:00:00,"Female","NOR"
94,"Alessandro","Andrei",1959/1/3 0:00:00,"Male","ITA"
95,"Rebecca","Adlington",,"Female","GBR"
96,"John","Archer",1921/8/10 0:00:00,"Male","GBR"
97,"Abramo","Albini",1948/1/29 0:00:00,"Male","ITA"
98,"Marlene","Ahrens",1933/7/27 0:00:00,"Female","CHI"
99,"Max","Angst",1921/7/3 0:00:00,,"SUI"
100,"Susan","Atwood",1953/6/5 0:00:00,"Female","USA"
101,"Fuad","Aslanov",1976/6/28 0:00:00,,"AZE"
102,"Ahmed","Almaktoum",1963/12/31 0:00:00,"Male","UAE"
103,"Rolf","Andreassen",1949/4/3 0:00:00,"Male","NOR"
104,"Tate","Armstrong",1955/10/5 0:00:00,"Male","USA"
105,"Han-Bong","An",1968/10/15 0:00:00,,"KOR"
106,"Alejandro","Abascal",1952/7/15 0:00:00,,"ESP"
107,"Arshad","Ali Chaudry",1950/4/10 0:00:00,"Male","PAK"
108,"Mariano","Arrate",1892/8/12 0:00:00,,"ESP"
109,"Alf","Andersen",1906/5/5 0:00:00,,"NOR"
110,"Max","Alfthan",1892/2/11 0:00:00,,"FIN"
111,"Percy","Almstedt",1888/11/30 0:00:00,,"SWE"
112,"Susan","Auch",1966/3/1 0:00:00,"Female","CAN"
113,"Turgut","Aykac",1958/1/1 0:00:00,,"TUR"
114,"Nobuharu","Asahara",1972/6/21 0:00:00,,"JPN"
115,"Nelli","Abramova",1940/8/18 0:00:00,"Female","URS"
116,"Dragan","Andric",1962/6/6 0:00:00,,"YUG"
117,"Josef","Augusta",1946/11/24 0:00:00,,"CZE"
118,"Joseph","Antic",1931/3/13 0:00:00,"Male","IND"
119,"Bruno","Ahlberg",1911/4/23 0:00:00,,"FIN"
120,"Volger","Andersson",1896/1/19 0:00:00,"Male","SWE"
121,"Alessandro","Argenton",1937/2/11 0:00:00,,"ITA"
122,"William","Ayache",1961/1/10 0:00:00,,"FRA"
123,"Ingr¨¬da","Amantova",1960/6/21 0:00:00,"Female","URS"
124,"Kwame","Ayew",1973/12/28 0:00:00,,"GHA"
125,"Walter","Andrews",,"Male","CAN"
126,"Horace","Ashenfelter",1923/1/23 0:00:00,"Male","USA"
127,"Michael","Anthony",1957/10/4 0:00:00,,"GUY"
128,"Mohamed","Allalou",1973/9/28 0:00:00,,"ALG"
129,"George","Avery",1925/2/11 0:00:00,"Male","AUS"
130,"Egon","Adler",1937/2/18 0:00:00,"Male","GDR"
131,"Ioannis","Andreou",,"Male","GRE"
132,"Buffy","Alexander",1977/3/27 0:00:00,"Female","CAN"
133,"Zdzislaw","Antczak",1947/11/20 0:00:00,"Male","POL"
134,"Maxim","Afinogenov",1979/9/4 0:00:00,"Male","RUS"
135,"Mariela","Antoniska",1975/5/20 0:00:00,"Female","ARG"
136,"Brent","Abernathy",1977/9/23 0:00:00,,"USA"
137,"Fernando","Altimani",1892/12/8 0:00:00,"Male","ITA"
138,"Albert","Axelrod",1921/2/12 0:00:00,,"USA"
139,"Sergio","Ag¨¹ero",1988/6/2 0:00:00,"Male","ARG"
140,"Vasile","Andrei",1955/7/28 0:00:00,,"ROM"
141,"Yutaka","Aihara",1970/12/18 0:00:00,,"JPN"
142,"Edgar","Aabye",1865/9/14 0:00:00,,"DEN"
143,"Vladimir","Andreyev",1945/7/14 0:00:00,"Male","URS"
144,"Addis","Abebe",1970/9/5 0:00:00,"Male","ETH"
145,"Agostino","Abbagnale",1966/8/25 0:00:00,"Male","ITA"
146,"Roald","Aas",1928/3/25 0:00:00,"Male","NOR"
147,"Edward","Amoore",1877/3/20 0:00:00,,"GBR"
148,"Peter","Allam",1959/7/26 0:00:00,,"GBR"
149,"Joseph","Armstrong",,,"AUS"
150,"Timothy","Austin",1971/4/14 0:00:00,,"USA"
151,"W T","Attrill",,,"FRA"
152,"Vasily","Alekseyev",1942/1/7 0:00:00,,"URS"
153,"Steve","Anderhub",1970/7/12 0:00:00,,"SUI"
154,"Stephen","Anderson",1906/4/6 0:00:00,"Male","USA"
155,"Ty","Anderson",1908/10/15 0:00:00,,"USA"
156,"Jordi","Arnau",1970/4/7 0:00:00,"Male","ESP"
157,"Gerald","Ashworth",1942/5/1 0:00:00,"Male","USA"
158,"Maxim","Alechine",1979/5/7 0:00:00,,"RUS"
159,"Joseph","Amlong",1936/12/17 0:00:00,"Male","USA"
160,"Estella","Agsteribbe",1909/4/6 0:00:00,"Female","NED"
161,"J?rgen","Andersen",1886/2/20 0:00:00,,"NOR"
162,"Yuya","Ando",1977/12/27 0:00:00,,"JPN"
163,"Igor","Astapkovich",1963/1/4 0:00:00,"Male","BLR"
164,"Chenglai","Arkhom",1970/6/11 0:00:00,,"THA"
165,"Moira","Abernethy",1939/5/29 0:00:00,"Female","SAF"
166,"Slava","Amiragov",1926/3/23 0:00:00,"Male","URS"
167,"Dmitry","Apanasenko",1967/7/17 0:00:00,,"URS"
168,"Carl","Andersen",1899/8/11 0:00:00,,"DEN"
169,"Ra¨²l","Anganuzzi",1906/7/20 0:00:00,,"ARG"
170,"Raul","Arnemann",1953/1/23 0:00:00,"Male","URS"
171,"Shareef","Abdur-Rahim",1976/12/11 0:00:00,"Male","USA"
172,"Elena","Antonova",1974/10/10 0:00:00,"Female","RUS"
173,"Nikolay","Avilov",1948/8/6 0:00:00,"Male","URS"
174,"Robert","Attersley",1933/8/13 0:00:00,,"CAN"
175,"Karl-?ke","Asph",1939/2/2 0:00:00,"Male","SWE"
176,"Marco","Albarello",1960/5/31 0:00:00,"Male","ITA"
177,"Lyudmila","Arzhannikova",1958/3/15 0:00:00,"Female","URS"
178,"Ludovic","Augustin",,,"HAI"
179,"Anna","Arkhipova",1973/7/27 0:00:00,"Female","RUS"
180,"Timothy","Ahearne",1885/8/18 0:00:00,"Male","GBR"
181,"Khurshid","Azam",1942/6/16 0:00:00,"Male","PAK"
182,"Niels","Andersen",1867/5/14 0:00:00,,"DEN"
183,"Robert","Andersson",1969/11/24 0:00:00,"Male","SWE"
184,"Robert","Andersson",1886/10/18 0:00:00,,"SWE"
185,"Angela","Alupei",1972/5/1 0:00:00,"Female","ROM"
186,"Jaime","Arb¨®s",1952/2/29 0:00:00,"Male","ESP"
187,"Frank","Amankwah",1971/12/29 0:00:00,,"GHA"
188,"Anders","Aukland",1972/9/12 0:00:00,"Male","NOR"
189,"Knut","Apeland",1968/12/11 0:00:00,,"NOR"
190,"Xi","Aihua",1982/1/27 0:00:00,"Female","CHN"
191,"Hoang","AnhTuan",,,"VIE"
192,"Aleksandr","Abushakhmetov",1954/7/21 0:00:00,,"URS"
193,"Serguei","Alifirenko",1959/1/21 0:00:00,,"RUS"
194,"Ruslan","Ashuraliyev",1950/2/20 0:00:00,,"URS"
195,"Ragnhild","Aamodt",1980/9/9 0:00:00,"Female","NOR"
196,"Henri","Anspach",1882/7/10 0:00:00,,"BEL"
197,"Peter","Ahrendt",1934/2/2 0:00:00,,"GDR"
198,"Axel","Alfredsson",1902/5/2 0:00:00,,"SWE"
199,"Karina","Aznavourian",1974/9/20 0:00:00,"Female","RUS"
200,"Muhammad","Akhlaq Ahmad",1971/12/4 0:00:00,"Male","PAK"
201,"Francisco","Arrue",1977/8/7 0:00:00,"Male","CHI"
202,"Rumen","Aleksandrov",1960/6/26 0:00:00,,"BUL"
203,"Mikl¨®s","Ambrus",1933/5/31 0:00:00,,"HUN"
204,"Charles Acher","Arentz",1878/11/8 0:00:00,,"NOR"
205,"Ramon","Alegre",1981/5/14 0:00:00,"Male","ESP"
206,"Carlo","Agostoni",1909/3/23 0:00:00,,"ITA"
207,"Daniel","Aceves",1964/11/18 0:00:00,,"MEX"
208,"Axel","Andersen",1891/12/20 0:00:00,,"DEN"
209,"Hannelore","Anke",1957/12/8 0:00:00,"Female","GDR"
210,"John","Ainsworth-Davis",1895/4/23 0:00:00,"Male","GBR"
211,"Israil","Arsamakov",1962/2/8 0:00:00,,"URS"
212,"Benjamin","Agosto",1982/1/15 0:00:00,,"USA"
213,,"Aldair",1965/11/30 0:00:00,"Male","BRA"
214,"Nasir","Ali",1959/1/1 0:00:00,"Male","PAK"
215,"Lautaro","Acosta",1988/3/14 0:00:00,"Male","ARG"
216,"Paul","Attwood",1969/12/13 0:00:00,,"GBR"
217,"Jake","Arrieta",1986/3/6 0:00:00,,"USA"
218,"H?kan","Algotsson",1966/8/5 0:00:00,,"SWE"
219,"Hugh","Alessandroni",1908/1/15 0:00:00,,"USA"
220,"Leyla","Akhmerova",1957/5/1 0:00:00,"Female","URS"
221,"Mark","Astley",1969/3/30 0:00:00,,"CAN"
222,"Sava","Antic",1930/3/1 0:00:00,,"YUG"
223,"Julien","Absalon",1980/8/16 0:00:00,"Male","FRA"
224,"Fl¨®rian","Albert",1941/9/15 0:00:00,,"HUN"
225,"Tessa","Appeldoorn",1973/4/29 0:00:00,"Female","NED"
226,"Marc","Alexandre",1959/10/30 0:00:00,"Male","FRA"
227,"Giuseppe","Abbagnale",1959/5/24 0:00:00,"Male","ITA"
228,"Paul","Accola",1967/2/20 0:00:00,"Male","SUI"
229,"Carl","Abrahamsson",1896/5/1 0:00:00,,"SWE"
230,"Jorge","Aguilera",1966/1/16 0:00:00,"Male","CUB"
231,"Simon","Addo",1974/12/11 0:00:00,,"GHA"
232,"Mushtaq","Ahmad",1932/8/28 0:00:00,"Male","PAK"
233,"Ilia","Averbukh",1973/12/18 0:00:00,,"RUS"
234,"Anatoly","Akimov",1947/11/15 0:00:00,,"URS"
235,"Arvo","Askola",1909/12/2 0:00:00,"Male","FIN"
236,"Gustave","Amoudruz",,,"SUI"
237,"Arkady","Andriasyan",1947/4/2 0:00:00,,"URS"
238,"Guido","Acklin",1969/11/21 0:00:00,,"SUI"
239,"Robert","Alt",1927/1/2 0:00:00,,"SUI"
240,"Carl-Ebbe","Andersen",1929/1/19 0:00:00,"Male","DEN"
241,"Yordanis","Arencibia",1980/1/24 0:00:00,"Male","CUB"
242,"Renato","Anselmi",1891/10/26 0:00:00,,"ITA"
243,"Karl Jan","Aas",1899/8/25 0:00:00,,"NOR"
244,"Zlatan","Arnautovic",1956/9/2 0:00:00,"Male","YUG"
245,"Attila","Adrovicz",1968/4/8 0:00:00,"Male","HUN"
246,"Adil","Atan",,,"TUR"
247,"Angelica","Aposteanu",1954/8/21 0:00:00,"Female","ROM"
248,"Nils","Adlerkreutz",1866/7/8 0:00:00,,"SWE"
249,"Muhammed","Aslam",,"Male","BIN"
250,"Islam-Beka","Albiev",,,"RUS"
251,,"Antonius",1973/10/3 0:00:00,"Male","INA"
252,"Maria","Abakumova",,"Female","RUS"
253,"Giannin","Andreossi",1902/7/2 0:00:00,,"SUI"
254,"Margaret","Abbott",1878/6/15 0:00:00,"Female","USA"
255,,"Andreia",1977/9/14 0:00:00,"Female","BRA"
256,"Seiji","Aochi",1942/6/21 0:00:00,,"JPN"
257,"Michelle","Akers",1966/2/1 0:00:00,"Female","USA"
258,"P¨¦ter","Abay",1962/5/13 0:00:00,,"HUN"
259,"Juan","Artola",1895/11/28 0:00:00,,"ESP"
260,"Aldo","Aureggi",1931/10/6 0:00:00,"Male","ITA"
261,"Pierre","Adam",1924/4/24 0:00:00,"Male","FRA"
262,"Silvia","Albrecht",1962/10/28 0:00:00,"Female","GDR"
263,"Boris","Aleksandrov",1955/11/13 0:00:00,,"URS"
264,"Gisela","Arendt",1918/11/5 0:00:00,"Female","GER"
265,"Denis","Alexeev",1987/12/21 0:00:00,"Male","RUS"
266,"Rasool","Akhtar",1954/1/13 0:00:00,"Male","PAK"
267,"G?sta","Almgren",1906/11/6 0:00:00,,"SWE"
268,"Daniel","Adler",1958/4/16 0:00:00,,"BRA"
269,"Reinhard","Alber",1964/2/6 0:00:00,"Male","FRG"
270,"Bashir","Ahmad",1934/12/23 0:00:00,"Male","PAK"
271,"Aleksandr","Almetov",1940/1/18 0:00:00,,"URS"
272,"Viktor","Aboimov",1949/9/14 0:00:00,"Male","URS"
273,"Eirini","Aindili",1983/3/11 0:00:00,,"GRE"
274,"Jo?l","Abati",1970/4/25 0:00:00,"Male","FRA"
275,"Thomas","Aas",1887/4/28 0:00:00,,"NOR"
276,"Roberto","Ayala",1973/4/12 0:00:00,"Male","ARG"
277,"Mahmut","Atalay",1934/3/30 0:00:00,,"TUR"
278,"Roberto","Ayala",1973/4/14 0:00:00,"Male","ARG"
279,"Steinar","Amundsen",1945/7/4 0:00:00,"Male","NOR"
280,"Sotirios","Athanasopoulos",,,"GRE"
281,"A. F.","Andrews",,,"USA"
282,"Mikael","Andersson",1959/7/6 0:00:00,,"SWE"
283,"Sandra","Azon",1973/11/12 0:00:00,"Female","ESP"
284,"Javier","Arnau",1973/3/20 0:00:00,"Male","ESP"
285,"Serena","Amato",1974/9/10 0:00:00,"Female","ARG"
286,"Evelyn","Ashford",1957/4/15 0:00:00,"Female","USA"
287,,"Amaya",1978/9/3 0:00:00,"Male","ESP"
288,"Arthur","Allers",1875/10/6 0:00:00,,"NOR"
289,"Douglas","Anakin",1930/11/6 0:00:00,,"CAN"
290,"Riaz","Ahmed",1941/9/11 0:00:00,"Male","PAK"
291,"Jean Pierre","Amat",1962/6/13 0:00:00,"Male","FRA"
292,"Andrey","Alshan",1960/3/18 0:00:00,,"URS"
293,"Yaroslav","Antonov",1963/1/10 0:00:00,"Male","URS"
294,"Arn¨®r","Atlason",1984/7/23 0:00:00,,"ICE"
295,"Kalle","Anttila",1887/8/30 0:00:00,,"FIN"
296,"Nicolas","Alnoudji",1979/12/9 0:00:00,"Male","CMR"
297,,"Amaral",1973/2/28 0:00:00,"Male","BRA"
298,"Alessandro","Alvisi",1887/2/12 0:00:00,,"ITA"
299,"Eduard","Azaryan",1958/11/4 0:00:00,,"URS"
300,"Khaled","al Eid",1969/1/2 0:00:00,,"KSA"
301,"Kevin","Asano",1963/4/20 0:00:00,"Male","USA"
302,"Helen","Aitchison",,,"GBR"
303,"Pepijn","Aardewijn",1970/6/15 0:00:00,"Male","NED"
304,"?ke","Andersson",1918/6/8 0:00:00,,"SWE"
305,,"Aumoitte",,,"FRA"
306,"Jay","Arnette",1938/12/19 0:00:00,"Male","USA"
307,"Kevin","Ahearn",1948/6/20 0:00:00,,"USA"
308,"Georgeta","Andrunache",,"Female","ROM"
309,"Sebastien","Amiez",1972/5/6 0:00:00,"Male","FRA"
310,"Mario","Ancic",1984/3/30 0:00:00,"Male","CRO"
311,"Boris","Andreyev",1906/1/21 0:00:00,,"URS"
312,"Sergei","Aschwanden",,"Male","SUI"
313,"Alexandra","Araujo",1972/7/13 0:00:00,"Female","ITA"
314,"Christine","Arron",1973/9/13 0:00:00,"Female","FRA"
315,"Daniel","Amokachi",1972/12/30 0:00:00,"Male","NGR"
316,"Daniel","Alfredsson",1972/12/11 0:00:00,"Male","SWE"
317,"Marilyn","Agliotti",1979/6/23 0:00:00,"Female","NED"
318,"Said S","Asaad",1979/5/31 0:00:00,,"QAT"
319,"Dieter","Arend",1914/8/14 0:00:00,"Male","GER"
320,"Kazim","Ayvaz",1938/3/10 0:00:00,,"TUR"
321,"G?sta","Andersson",1917/2/15 0:00:00,,"SWE"
322,"Yovany","Aragon",1974/5/2 0:00:00,,"CUB"
323,"Platt","Adams",1885/3/23 0:00:00,,"USA"
324,"Michel","Ansermet",1965/2/20 0:00:00,,"SUI"
325,"Flisa","Andersen",1876/8/15 0:00:00,"Male","NOR"
326,"Aage","Andersen",1883/12/1 0:00:00,,"DEN"
327,"Pedro","Amat",1940/7/13 0:00:00,"Male","ESP"
328,"Yevgeny","Arzhanov",1948/2/9 0:00:00,"Male","URS"
329,"Catello","Amarante",1979/8/15 0:00:00,"Male","ITA"
330,"Mike","Adam",1981/6/3 0:00:00,"Male","CAN"
331,"Yuko","Arimori",1966/12/17 0:00:00,"Female","JPN"
332,"Dana","Antal",1977/4/19 0:00:00,"Female","CAN"
333,"Nicolaos","Andriakopoulos",,,"GRE"
334,"Harry","Adams",1880/10/1 0:00:00,,"USA"
335,"David","Anderson",1932/4/8 0:00:00,"Male","AUS"
336,"Bakhtiyar","Artayev",1983/3/14 0:00:00,,"KAZ"
337,"Constantin","Alexandru",1953/12/15 0:00:00,,"ROM"
338,"David","Archibald",1969/4/14 0:00:00,,"CAN"
339,"Carmela","Allucci",1970/1/22 0:00:00,"Female","ITA"
340,"Gregor","Adlercreutz",1898/8/16 0:00:00,,"SWE"
341,"Clarence","Abel",1900/5/28 0:00:00,,"USA"
342,"Namik","Abdullayev",1971/1/4 0:00:00,,"AZE"
343,,"Ademir",1960/1/6 0:00:00,,"BRA"
344,"Anatoly","Albul",1936/6/1 0:00:00,,"URS"
345,"Nazmi","Avluca",,,"TUR"
346,"Jos¨¦","Alvarez",1895/3/23 0:00:00,,"ESP"
347,"Jos¨¦","Alvarez",1949/11/26 0:00:00,"Male","CUB"
348,"Mauritz","Andersson",1886/9/22 0:00:00,,"SWE"
349,"Christian","Ahlmann",1974/12/17 0:00:00,,"GER"
350,"Camilla","Andersen",1973/7/5 0:00:00,"Female","DEN"
351,"Ioannis","Agrimis",,,"GRE"
352,"Albert","Arnheiter",1890/7/20 0:00:00,"Male","GER"
353,"Lutz","Altepost",1981/10/6 0:00:00,"Male","GER"
354,"Stig","Andersson",1928/7/15 0:00:00,,"SWE"
355,"Emmanuel","Amunike",1970/12/25 0:00:00,"Male","NGR"
356,"Pavel","Abramov",1979/4/23 0:00:00,"Male","RUS"
357,"Lotta","Almblad",1972/4/28 0:00:00,"Female","SWE"
358,"Charles","Asati",1946/3/3 0:00:00,"Male","KEN"
359,"Vera","Anisimova",1952/5/25 0:00:00,"Female","URS"
360,"Luciana","Aymar",1977/8/10 0:00:00,"Female","ARG"
361,"Ivar","Aronsson",1928/3/24 0:00:00,"Male","SWE"
362,"Vladimir","Artyomov",1964/12/7 0:00:00,"Male","URS"
363,"Erik","Anker",1903/10/15 0:00:00,,"NOR"
364,"Ian","Allison",1909/7/26 0:00:00,"Male","CAN"
365,"Bianca","Ambrosetti",1914/3/1 0:00:00,"Female","ITA"
366,"Jerzy","Adamski",1937/3/14 0:00:00,,"POL"
367,"Michel","Andrieux",1967/4/28 0:00:00,"Male","FRA"
368,"Viggo","Andersen",1884/7/30 0:00:00,,"DEN"
369,"Claude","Arabo",1937/10/3 0:00:00,,"FRA"
370,"Yekaterina","Abramova",1982/4/14 0:00:00,"Female","RUS"
371,"Glory","Alozie",1977/7/13 0:00:00,"Female","NGR"
372,"Alexander","Archer",1910/5/1 0:00:00,,"GBR"
373,"Renzo","Alver¨¤",1933/1/17 0:00:00,,"ITA"
374,"Christie","Ambrosi",1976/12/21 0:00:00,"Female","USA"
375,"Mohammad","Ashfaq",1946/11/11 0:00:00,"Male","PAK"
376,"Albert","Amrhein",,,"GER"
377,"Ronny","Ackermann",1977/5/16 0:00:00,,"GER"
378,"Anja Jul","Andersen",1969/2/15 0:00:00,"Female","DEN"
379,"Franz","Aigner",1892/1/24 0:00:00,,"AUT"
380,"Hjallis","Andersen",1923/3/13 0:00:00,"Male","NOR"
381,"Hjalmar","Andersson",1889/7/13 0:00:00,,"SWE"
382,"Carmine","Abbagnale",1962/7/5 0:00:00,"Male","ITA"
383,"¨¦va","Angyal",1955/4/18 0:00:00,"Female","HUN"
384,"Sa?d","Aouita",1959/11/2 0:00:00,"Male","MAR"
385,"Lavinia","Agache",1967/2/11 0:00:00,"Female","ROM"
386,"Sune","Andersson",1921/2/22 0:00:00,,"SWE"
387,"Toimi","Alatalo",1929/4/4 0:00:00,"Male","FIN"
388,"Natalya","Anisimova",1960/11/16 0:00:00,"Female","URS"
389,"Sverre","Andreas Jakobsson",1977/2/8 0:00:00,,"ICE"
390,"Matteo","Anesi",1984/8/16 0:00:00,"Male","ITA"
391,"Cyril","Alden",,"Male","GBR"
392,"Yusup","Abdusalomov",,"Male","TJK"
393,"Noor","Alam",1929/12/5 0:00:00,"Male","PAK"
394,"George","Abel",1916/2/23 0:00:00,,"CAN"
395,"David","Alegre",1984/9/6 0:00:00,"Male","ESP"
396,"William","Anderson",,"Male","CAN"
397,"William","Anderson",1901/4/1 0:00:00,,"GBR"
398,"William","Anderson",1967/1/8 0:00:00,"Male","USA"
399,"Frank","Andersson",1956/5/9 0:00:00,,"SWE"
400,"Rein","Aun",1940/10/5 0:00:00,"Male","URS"
401,"Stephen","Abas",1978/1/12 0:00:00,"Male","USA"
402,"Ed","Archibald",1884/3/29 0:00:00,"Male","CAN"
403,"Annica","Ahlen",1975/1/17 0:00:00,"Female","SWE"
404,"Samantha","Arsenault",1981/10/11 0:00:00,"Female","USA"
405,"Joan","Alderson",1935/3/5 0:00:00,"Female","USA"
406,"Olapade","Adeniken",1969/8/19 0:00:00,"Male","NGR"
407,"Yelena","Andreyuk",1958/11/23 0:00:00,"Female","URS"
408,"Abaz","Arslanagic",1944/10/2 0:00:00,"Male","YUG"
409,"Yordan","Angelov",1953/8/28 0:00:00,"Male","BUL"
410,"Mohamed","Aly",1975/2/19 0:00:00,,"EGY"
411,"Rahim","Aliabadi",1943/3/22 0:00:00,,"IRI"
412,"Anatoly","Asrabyev",1969/5/5 0:00:00,,"URS"
413,"Edgar","Adams",,"Male","USA"
414,"George","Ahlgren",1928/8/16 0:00:00,"Male","USA"
415,"Lance","Armstrong",1971/9/18 0:00:00,"Male","USA"
416,"Viktor","Ageyev",1936/4/29 0:00:00,,"URS"
417,"Khadjimourad","Akkaev",1985/3/27 0:00:00,,"RUS"
418,"Svetlana","Anastasowski",1961/4/26 0:00:00,"Female","YUG"
419,"Ove Robert","Aunli",1956/3/12 0:00:00,"Male","NOR"
